ID;Clase_Predicha;Distancia_Hamming
Correo01;Phishing;1
Correo02;Phishing;1
Correo03;Legítimo;3
Correo04;Phishing;1
Correo05;Phishing;1
Correo06;Legítimo;2
Correo07;Phishing;1
Correo08;Phishing;1
Correo09;Phishing;1
Correo10;Phishing;1
Correo11;Legítimo;2
Correo12;Phishing;2
Correo13;Phishing;2
Correo14;Phishing;2
Correo15;Phishing;2
Correo16;Phishing;3
Correo17;Phishing;2
Correo18;Legítimo;2
Correo19;Phishing;2
Correo20;Phishing;3
Correo21;Legítimo;2
Correo22;Phishing;2
Correo23;Phishing;2
Correo24;Phishing;2
Correo25;Phishing;2
Correo26;Phishing;2
Correo27;Legítimo;2
Correo28;Phishing;3
Correo29;Phishing;3
Correo30;Phishing;1
Correo31;Phishing;2
Correo32;Phishing;2
Correo33;Phishing;2
Correo34;Legítimo;3
Correo35;Phishing;2
Correo36;Phishing;2
Correo37;Legítimo;2
Correo38;Phishing;2
Correo39;Legítimo;3
Correo40;Phishing;2
Correo41;Legítimo;1
Correo42;Phishing;2
Correo43;Legítimo;2
Correo44;Legítimo;2
Correo45;Legítimo;2
Correo46;Legítimo;1
Correo47;Phishing;2
Correo48;Legítimo;1
Correo49;Legítimo;2
Correo50;Legítimo;1
Correo51;Phishing;2
Correo52;Legítimo;2
Correo53;Legítimo;1
Correo54;Legítimo;2
Correo55;Legítimo;2
Correo56;Phishing;2
Correo57;Legítimo;2
Correo58;Legítimo;2
Correo59;Legítimo;3
Correo60;Legítimo;2
Correo61;Phishing;2
Correo62;Legítimo;2
Correo63;Legítimo;2
Correo64;Legítimo;2
Correo65;Legítimo;2
Correo66;Legítimo;1
Correo67;Phishing;2
Correo68;Legítimo;2
Correo69;Legítimo;2
Correo70;Legítimo;3
Correo71;Phishing;2
Correo72;Legítimo;2
Correo73;Legítimo;2
Correo74;Legítimo;2
Correo75;Phishing;1
Correo76;Legítimo;3
Correo77;Phishing;3
Correo78;Phishing;4
Correo79;Legítimo;3
Correo80;Legítimo;3
