ID;Clase_Predicha;Distancia_Hamming
Correo01;Phishing;0
Correo02;Phishing;0
Correo03;Legítimo;2
Correo04;Phishing;0
Correo05;Phishing;0
Correo06;Phishing;0
Correo07;Phishing;1
Correo08;Phishing;1
Correo09;Legítimo;2
Correo10;Phishing;3
Correo11;Phishing;1
Correo12;Legítimo;1
Correo13;Phishing;1
Correo14;Phishing;1
Correo15;Phishing;1
Correo16;Legítimo;1
Correo17;Phishing;2
Correo18;Phishing;1
Correo19;Phishing;1
Correo20;Phishing;3
Correo21;Phishing;1
Correo22;Legítimo;1
Correo23;Phishing;1
Correo24;Phishing;1
Correo25;Legítimo;3
Correo26;Phishing;1
Correo27;Phishing;1
Correo28;Phishing;1
Correo29;Phishing;1
Correo30;Legítimo;2
Correo31;Legítimo;2
Correo32;Phishing;3
Correo33;Phishing;2
Correo34;Phishing;1
Correo35;Phishing;1
Correo36;Phishing;1
Correo37;Phishing;1
Correo38;Legítimo;1
Correo39;Phishing;1
Correo40;Phishing;1
Correo41;Phishing;2
Correo42;Legítimo;2
Correo43;Phishing;2
Correo44;Legítimo;2
Correo45;Phishing;2
Correo46;Phishing;1
Correo47;Phishing;2
Correo48;Legítimo;1
Correo49;Phishing;2
Correo50;Phishing;1
Correo51;Legítimo;0
Correo52;Phishing;1
Correo53;Legítimo;1
Correo54;Legítimo;1
Correo55;Legítimo;1
Correo56;Legítimo;1
Correo57;Legítimo;1
Correo58;Phishing;1
Correo59;Legítimo;1
Correo60;Legítimo;0
Correo61;Phishing;1
Correo62;Legítimo;1
Correo63;Legítimo;0
Correo64;Legítimo;1
Correo65;Phishing;1
Correo66;Legítimo;1
Correo67;Legítimo;1
Correo68;Legítimo;1
Correo69;Legítimo;3
Correo70;Phishing;1
Correo71;Legítimo;1
Correo72;Legítimo;1
Correo73;Legítimo;1
Correo74;Legítimo;1
Correo75;Legítimo;1
Correo76;Legítimo;1
Correo77;Phishing;1
Correo78;Legítimo;1
Correo79;Legítimo;1
Correo80;Legítimo;2
Correo81;Phishing;1
Correo82;Legítimo;2
Correo83;Legítimo;1
Correo84;Legítimo;1
Correo85;Legítimo;2
Correo86;Phishing;1
Correo87;Legítimo;1
Correo88;Legítimo;2
Correo89;Legítimo;2
Correo90;Legítimo;1
Correo91;Legítimo;2
Correo92;Phishing;1
Correo93;Legítimo;0
Correo94;Legítimo;1
Correo95;Legítimo;2
Correo96;Legítimo;1
Correo97;Legítimo;1
Correo98;Legítimo;2
Correo99;Phishing;1
Correo100;Legítimo;2
